English,Akuapem Twi
A number of people die in traffic accidents.,Nnipa pii wuwu wɔ kar akwanhyia mu.
My mother is always complaining about me.,Me maame taa nwiinwii wɔ me ho.
I went up to the door.,Mekɔɔ pon no ano.
She was brought up by her grandmother.,Ne nanabea na ɔtetee no.
I go into the city every day.,Da biara mekɔ kurow no mu.
Tiger Woods is famous for his skill as a golfer.,Wonim Tiger Woods sɛ obi a onim akenkan ne akyerɛw yiye.
I am dying to see her again.,Mawu na mahu no bio.
A map helps us study geography.,Asase mfonini boa yɛn ma yesua asase ho nsɛm.
That sounds fair.,Saa nnyigyei no fata.
I feel something.,Mete nka bi.
I need to get a pen.,Ehia sɛ minya pɛn.
Will I still be able to do it?,So metumi akɔ so ayɛ saa ara?
Kwabena suggested that I accompany Abena to the party.,Kwabena hyɛɛ nyansa sɛ me ne Abena nkɔ apontow no ase.
I'm not sure about it.,Mintumi nhu.
Why didn't you follow my advice?,Dɛn nti na woamfa m'afotu no anyɛ adwuma?
Kwabena is wearing glasses with black frames.,Kwabena de ahwehwɛ tuntum na ɛhyɛ.
I felt scared.,Ehu kaa me.
I just want to hear your reasons.,Mepɛ sɛ mete nea enti a wote saa no kɛkɛ.
He always says one word too many.,Bere nyinaa ɔka asɛmfua biako ma ɛboro so.
Did you walk all the way here?,Wonam saa kwan yi so nyinaa?
He was completely worn out.,Ná wabrɛ agu koraa.
"Frankly speaking, I hate him.","Nokwarem no, metan no."
I'm spending my holiday on the beach.,Midii m' dapɔnna wɔ mpoano.
What a good shot!,Din pa bɛn ara ni!
"American politics are interesting to watch, especially during a presidential election.","Amerikafo amanyɔsɛm yɛ anika sɛ wobɛhwɛ, titiriw bere a wɔretow aba no."
His helplessness appeals to her motherly sympathy.,N'ani nnye ho koraa sɛ ne maame behu no mmɔbɔ.
He must be crazy to go out in this stormy weather.,Ɛsɛ sɛ ɔbɔ dam na watumi akɔ wim tebea a emu yɛ den yi mu.
He gave me what I needed.,Ɔde nea mihia maa me.
I want to hear Kwabena speak.,Mepɛ sɛ mete sɛ Kwabena rekasa.
Do those insects sting?,So saa nkoekoemmoa yi pira?
Is Kwabena in Boston now?,So Kwabena wɔ Boston seesei?
I hope that she will get well soon.,Mewɔ anidaso sɛ ɛrenkyɛ ne ho bɛtɔ no.
Please sit on this chair and wait.,Yɛsrɛ wo tra agua yi so twɛn.
Kwabena doesn't have time right now to talk to anyone.,Kwabena nni bere seesei a ɔne obiara bɛkasa.
That's exactly what I thought.,Saa pɛpɛɛpɛ na misusuwii.
Kwabena doesn't have a criminal record.,Kwabena nni nsɛmmɔnedi ho kyerɛwtohɔ biara.
This house and this land are mine.,Ofie yi ne asase yi yɛ me dea.
Abena came in.,Abena baa mu.
What a wonderful view!,Adwempa bɛn ara ni!
We all like to be appreciated.,Yɛn nyinaa pɛ sɛ nkurɔfo kyerɛ yɛn ho anisɔ.
Get that off my table.,Yi fi me pon so.
Can you remember anything?,So wubetumi akae biribi?
Do you know the town where he lives?,Wunim kurow a ɔte mu no?
Kwabena is my student.,Kwabena yɛ me suani.
We cannot tell which is better.,Yɛrentumi nkyerɛ nea eye sen saa.
What in the world is this?,Dɛn ne eyi wɔ wiase?
She told me she loved me.,Ɔka kyerɛɛ me sɛ ɔdɔ me.
I need to know what I've missed.,Ɛho hia sɛ mihu nea mahwere no.
Kwabena isn't watching a basketball game on TV.,Kwabena nhwɛ agoru bi wɔ TV so.
Don't put books on the table.,Mfa nhoma nto ɔpon so.
The boys were enthusiastic about the music.,Na mmarimaa no ani gye nnwom no ho.
Think of your family.,Susuw w'abusua ho hwɛ.
Kwabena asked me how tall I was.,Kwabena bisaa me sɛnea me tenten te.
Kwabena couldn't understand what the sign meant.,Kwabena ante nea sɛnkyerɛnne no kyerɛ ase.
Don't underestimate my power.,Mmu me tumi adewa.
I'll be there right away.,Mɛsan aba ntɛm ara.
Kwabena has three cousins.,Kwabena wɔ nua mma baasa.
I feel very comfortable with you.,M'ani gye sɛ me ne wo bɛbɔ.
We've seen them.,Yɛahu wɔn.
I continued singing.,Mekɔɔ so too dwom.
Kwabena said he's no expert.,Kwabena kae sɛ onnim nyansa.
I think it's cruel to keep a cat inside.,Misusuw sɛ ɛyɛ atirimɔdensɛm sɛ wobɛka aboa ahyɛ dan mu.
I have no idea how to use this thing.,Minnim ɔkwan a mɛfa so de saa asɛm yi adi dwuma.
You've been warned.,Wɔabɔ wo kɔkɔ.
I did it wrong.,Midii mfomso.
Kwabena shot himself in the head.,Kwabena bɔɔ ne tirim tuo kum ne ho.
He has red spots all over his body.,Ɔwɔ nneɛma kɔkɔɔ wɔ ne nipadua nyinaa so.
There's still a lot to do.,Yɛda so ara wɔ pii yɛ.
I heard you enjoy going to the beach.,Metee sɛ w'ani agye sɛ wokɔ mpoano.
I can't remember where I bought it.,Mintumi nkae baabi a metɔɔ nhoma no.
I can't figure out how to open this suitcase.,Mintumi nhu ɔkwan a mɛfa so abue adaka yi.
An MP3 file is an audio file.,MP3 kyerɛwtohɔ no yɛ nsɛm a wɔakyere agu kasɛt so.
I put on my pajamas.,Mehyɛɛ me pajama.
Where is your dog?,Ɛhe na wo kraman wɔ?
"If you want to succeed, you should work hard.","Sɛ wopɛ sɛ esi wo yiye a, ɛsɛ sɛ woyɛ adwumaden."
Let me help you put on your coat.,Ma me mmoa wo na hyɛ w'atade.
"Being 25 letters long, 'anticonstitutionnellement' is the longest word in French.","Esiane sɛ nkyerɛwde 25 na ɛda so ara wɔ Franse kasa mu nti, asɛmfua a ɛware sen biara a wɔde di dwuma ne awɔ."
We can see Mt. Fuji in the distance.,Yetumi hu Bepɔw no wɔ akyirikyiri.
She had her handbag stolen.,Ɔmaa owiaa ne bag.
I'm going to apply for that job.,Mɛkɔhwehwɛ saa adwuma no.
You could ask Kwabena.,Wubetumi abisa Kwabena.
I sleep six hours a day on average.,"Sɛ wɔkyekyem pɛpɛɛpɛ a, meda nnɔnhwerew asia da biara."
I have a meeting at 2:30.,Mewɔ nhyiam bi ase wɔ 2:30.
You must be strong.,Ɛsɛ sɛ woyɛ den.
All of the buses are full.,bɔs ahorow no nyinaa ayɛ ma.
Life cannot exist without water.,"Sɛ nsu nni hɔ a, nkwa ntumi ntra ase."
German men go to the hairdresser more often than German women.,German mmarima taa kɔ baabi a wɔyɛ basabasa sen German mmea.
How many books can I borrow?,Nhoma dodow ahe na metumi abɔ bosea?
He was smiling as if nothing had happened to him.,Ná ɔreserew te sɛ nea hwee nsii n'anim.
"Let's forget the whole thing, OK?","Ma yɛn werɛ mfi ade mũ no nyinaa, ɛnte saa?"
I've put on a lot of weight since Christmas.,"Efi Buronya so no, mayɛ kɛse paa."
Is that the same guy?,So saa ara na ɛte?
That's my dog.,Ɛno ne me kraman.
Kwabena is probably asleep.,Ɛbɛyɛ sɛ Kwabena ada.
I thought Kwabena had a place to live.,Ná misusuw sɛ Kwabena wɔ baabi a wɔtra.
I like my coffee weak.,M'ani gye kɔfe ho paa.
Abena is sewing baby clothes.,Abena pam ntade a wɔde pam mmofra.
I was dreaming.,Ná maso dae.
"Don't call us, we'll call you.","Mommma yɛmfrɛ yɛn, yɛbɛfrɛ mo."
I finished my homework with difficulty.,Ná ɛyɛ den ma me sɛ megyae sukuu kɔ.
Kwabena was rescued after being trapped six days in the mountains.,Wogyee Kwabena bere a wɔkaa no too mmepɔw no mu nnafua asia akyi no.
Teach me how to do that.,Kyerɛ me sɛnea mɛyɛ saa.
It rained during the night.,Osu tɔe anadwo.
Kwabena knows who killed his dog.,Kwabena nim nea okum ne kraman no.
When did the wedding take place?,Bere bɛn na ayeforohyia no baa so?
I have no more money in my wallet.,Minni sika bio wɔ me sika kotoku mu.
Call me at six tomorrow morning.,Ade kyee anɔpa no ɔfrɛɛ me.
Don't eat hard foods.,Nni nnuan a ɛyɛ den.
We've got trouble.,Ɔhaw bi ato yɛn.
The girl I told you about lives here.,Abeawa a mekaa ne ho asɛm kyerɛɛ wo no te ha.
He went on reading the book as if nothing had happened.,Ɔkɔɔ so kenkan nhoma no te sɛ nea biribiara nsii.
Do you mind if I turn on the radio?,"Sɛ mekɔ radio so a, dɛn na ɛba w'adwenem?"
You two look the same.,Mo baanu nyinaa hwɛ ade koro.
"To tell you the truth, I'm completely bored.","Sɛ mɛka nokware akyerɛ mo a, m'ani nnye koraa."
I want everything you just said written into the contract.,Mepɛ biribiara a mokae wɔ apam no mu.
His position enabled him to do so.,Ne dibea no ma otumi yɛɛ saa.
Kwabena seemed quite surprised when he heard that Abena and John had gotten married.,Ɛte sɛ nea Kwabena ho dwiriw no bere a ɔtee sɛ Abena ne John aware no.
I study French.,Misua Franse kasa.
I prefer to write in French.,Mepɛ sɛ mekyerɛw wɔ Franse kasa mu.
You ticked them off.,Wopam wɔn fii hɔ.
I want to try to help you.,Mepɛ sɛ mebɔ mmɔden boa wo.
What did you do with that book?,Dɛn na wode saa nhoma no yɛe?
Kwabena said that he'd make it on time.,Kwabena kae sɛ obedi bere so.
I don't even know what's happening to me anymore.,Minnim nea ɛreyɛ me bio mpo.
Can we talk alone?,So yɛn nkutoo betumi akasa?
Where's my phone?,Ɛhe na me telefon wɔ?
Kwabena was here yesterday.,Ná Kwabena wɔ ha besi nnɛ.
Kwabena isn't a man of many words.,Kwabena nyɛ ɔbarima a ɔka nsɛm pii.
The radar broke.,Wimhyɛn gyinabea no gui.
I am afraid they don't get along very well.,Ɛyɛ a misuro sɛ wɔn ho bɛtɔ wɔn.
That word isn't in common use.,Saa asɛmfua no nyɛ ade a wɔtaa de di dwuma.
Is it made of wood or metal?,So wɔde nnua anaa nnade na ɛyɛ?
It's raining hard.,Osu tɔ denneennen.
"On Saturday, we went to the movies and then to a restaurant.","Memeneda no, yɛkɔɔ sini no bi, na afei yɛkɔɔ adidibea."
Would you mind coming earlier next time?,So wobɛkae bere foforo a ɛreba no?
The passengers all went aboard the ship.,Hyɛn no mufo nyinaa faa hyɛn no mu kɔe.
I arranged catering for tomorrow's party.,Meyɛɛ nhyehyɛe maa ɔkyena apontow no kɔɔ so.
My favorite sport is soccer.,Agumadi a m'ani gye ho paa ne bɔɔlbɔ.
I haven't got all day.,Me nsa nkaa da mũ nyinaa.
That's an incredible story.,Ɛyɛ asɛm a ɛyɛ nwonwa.
I'll take whoever wants to go.,Mede obiara a ɔpɛ sɛ ɔkɔ no bɛkɔ.
I thought Kwabena had enough money to buy everything he needed.,Ná misusuw sɛ Kwabena wɔ sika pii a obetumi de atɔ biribiara a ohia.
This is my page on Facebook.,Eyi ne me kratafa a mede sua nhoma ahorow.
I'm not going to go there.,Merentumi nkɔ hɔ.
I missed the first part of the concert.,M'ani gyinaa nnwonto no fã a edi kan no.
His curiosity prompted him to ask questions.,Ɔpɛ a na ɔrepɛ biribi ahu nti na obisaa nsɛm no.
He was very excited.,N'ani gyei yiye.
There used to be a hotel around here.,Ná ahɔhodan bi wɔ ha.
This is so weird.,Eyi yɛ nnaadaa ankasa.
I don't know what we can do.,Minnim nea yebetumi ayɛ.
"I was too short to reach the top shelf, so I asked Kwabena to get the book for me.","Ná misua dodo sɛ metumi adu nhomakorabea hɔ, enti meka kyerɛɛ Kwabena sɛ ɔmma me nhoma no bi."
It's raining hard tonight.,Osu tɔ denneennen anadwo.
Did you play tennis yesterday?,So wobɔɔ nnwom a ne bo yɛ den ɔsram biara?
Osaka is Japan's second largest city.,kɔtenaa Japan kuro a ɛto so mmienu mu.
It's fun to play baseball.,Ɛyɛ anigye sɛ wobɛbɔ baseball.
Would you prefer not to help?,So wobɛpɛ sɛ woboa?
Kwabena asked Abena and her friends for help.,Kwabena ka kyerɛɛ Abena ne ne nnamfo sɛ wɔmmoa no.
Who do you think will be able to help us?,Wususuw sɛ hena na obetumi aboa yɛn?
You shouldn't allow your son to always have his own way.,Ɛnsɛ sɛ woma wo ba kwan ma ɔfa ne kwan so bere nyinaa.
I've known that for a while.,Manim ɛno kakra.
The hill was all covered with snow.,Ná sukyerɛmma akata bepɔw no nyinaa so.
Kwabena doesn't let Abena watch TV after 10:00 p.m.,Kwabena mma Abena nhwɛ TV anwummere 10:00.
My uncle lives in Germany.,Me wɔfa te Germany.
You'll find this lesson easy.,Ɛbɛyɛ mmerɛw ama wo sɛ wubesua saa asɛm yi.
She wept bitterly.,Ɔde awerɛhow sui.
I am repairing the washing machine.,Meresiesie afiri a wɔde horo nneɛma no.
The number of students who specialize in biology will increase from now on.,Adesuafo a wosua abɔde a nkwa wom ho ade no dodow bɛkɔ anim fi saa bere yi.
The doctors wore white masks over their mouths and noses.,Ná nnuruyɛfo no hyɛ kaakaamotobi fitaa wɔ wɔn anom ne wɔn hwene ho.
I'll not be at home next Sunday.,Merentumi ntra fie Kwasida a ɛreba no.
I should learn French.,Ɛsɛ sɛ misua Franse kasa.
Kwabena could've been killed.,Ná anka wobetumi akum Kwabena.
Exercise has many benefits.,Mfaso pii wɔ apɔw - mu - teɛteɛ so.
Do you think I'm too materialistic?,So wususuw sɛ meyɛ honam fam ade dodowpɛ dodo?
Kwabena slugged Abena.,Kwabena slnia Abena.
What's mine's yours.,Me de ara ne no.
It is dark in that room.,Ɛwɔ saa dan no mu.
You can not swim here.,Wuntumi guare wɔ ha.
He abuses his authority.,Ɔde ne tumi dii dwuma ɔkwammɔne so.
Abena likes skiing the best of all.,Abena ani gye nneɛma a eye sen biara ho.
Kwabena took a cold shower this morning.,Kwabena guare nwini anɔpa yi.
I am proud to work with you.,M'ani gye sɛ me ne wo yɛ adwuma.
Why is this happening?,Dɛn nti na eyi rekɔ so?
I guess it will be a long time before I can return to Japan.,Misusuw sɛ ebegye bere tenten ansa na matumi asan akɔ Japan.
Think about death.,Susuw owu ho hwɛ.
I was thinking of the same thing.,Ná me nso misusuw saa ara.
The Titanic sunk on its maiden voyage.,Po so hyɛn a wɔde fa nneɛma no tu faa baabi a na wotu kwan no.
I will support him.,Mɛboa no.
Kwabena and Abena were only married for a few months.,Kwabena ne Abena waree asram kakraa bi pɛ.
It is very difficult to talk about what happened.,Ɛyɛ den yiye sɛ wobɛka nea esii no ho asɛm.
My mother does not speak English.,Me maame nte Borɔfo.
I got jealous.,M'ani beree ade.
My reputation is at stake.,Me din ho aba asɛm.
She spends a lot of time practicing the piano.,Ɔde bere pii bɔ adakabɛn no.
We'll fail.,Yɛrenni nkogu.
They parted with a firm handshake.,Wɔde tuo a ano yɛ den siw wɔn kwan.
It is important for us to choose good friends.,Ɛho hia sɛ yɛpaw nnamfo pa.
"My friend recommended that I shouldn't buy an iPad yet, but to wait until I see what Apple's competitors come out with.","M'adamfo no kamfo kyerɛe sɛ ɛnsɛ sɛ metɔ aduru bi a wɔfrɛ no load, nanso metwɛn nkosi sɛ mehu nea afi mu aba no."
Does Kwabena live far from here?,So Kwabena te akyirikyiri?
How do we do it?,Ɔkwan bɛn so na yɛfa yɛ saa?
Kwabena is in the warehouse.,Kwabena da ɔdan no mu.
We meet here once a week.,Dapɛn biara yehyiam pɛnkoro wɔ ha.
Only time will tell if he was right.,Ɛrenkyɛ koraa na wahu sɛ n'asɛm no yɛ nokware anaa.
Could I get a closer look at that one?,So na metumi ahwɛ onii no yiye?
I know you're lying.,Minim sɛ woredi atoro.
Where are you going to vacation this summer?,Ɛhe na wobɛkɔ akogye w'ahome ahohuru bere yi mu?
I know what he did.,Minim nea ɔyɛe.
I wonder if it will rain tomorrow.,Misusuw ho sɛ ebia osu bɛtɔ ɔkyena anaa.
Birds always return to their nests.,Nnomaa san ba wɔn buw mu bere nyinaa.
He complained that he couldn't find a job.,Ɔkae sɛ onnya adwuma nyɛ.
He is not altogether wrong.,Ɔnyɛ mfomso ankasa.
The two countries negotiated a treaty.,Aman abien no yɛɛ apam bi.
He is richer than anyone else in this town.,Ɔyɛ ɔdefo sen obi foforo biara wɔ kurow yi mu.
She loves her son dearly.,Ɔdɔ ne ba no yiye.
You need to talk to me.,Ehia sɛ wo ne me kasa.
There are a lot of famous old buildings in Kyoto.,Adan dedaw pii wɔ hɔ a agye din yiye wɔ nnipa dodow no ara afie mu wɔ wiase nyinaa.
Kwabena used to live in Boston.,Ná Kwabena te Boston.
Kwabena almost got caught.,Ɛkame ayɛ sɛ wɔkyeree Kwabena.
You need to wash your hands.,Ɛsɛ sɛ wohohoro wo nsa.
I'm sure he mistook me for my sister.,Migye di sɛ odii mfomso faa me maa me nuabea no.
Kwabena says you're bright.,Kwabena ka sɛ w'ani agye.
I've always wanted to play the trombone.,Bere nyinaa na mepɛ sɛ mebɔ bɔɔl no.
I wish we could live in Australia.,Me yam a anka yɛatumi atra Australia.
I wish I had bought a concert ticket.,Me yam a anka metɔɔ tekiti a wɔde bɔ nnwom.
"As far as I know, he is honest and reliable.","Sɛnea minim no, ɔyɛ ɔnokwafo a wotumi de ho to no so."
He is one of the American presidential candidates.,Ɔyɛ Amerika ɔmampanyin no mu biako.
A detective arrived upon the scene of the crime.,Polisini bi duu beae a nsɛmmɔnedi no rekɔ so no.
There is no person to do it.,Obiara nni hɔ a obetumi ayɛ saa.
I want to be near you.,Mepɛ sɛ mebɛn wo.
Every day he says something different.,Da biara da ɔka biribi foforo.
I wouldn't have trusted Kwabena either.,Anka meremfa me ho nto Kwabena nso so.
Go and speak to my colleague.,Kɔ na wo ne me yɔnko nkasa.
You have the right to be creative.,Wowɔ hokwan sɛ wobɔ biribi.
Let me pay.,Ma mentua ka.
"Excuse me, may I come in?","Mesrɛ wo, ma memmra mu bi?"
I can't figure out what you're trying to tell me.,Mintumi nhu nea worebɔ mmɔden sɛ wobɛka akyerɛ me.
Kwabena likes hot curry.,Kwabena te sɛ ade a ɛyɛ hyew.
"I had an appointment at 2:30, but I got caught in traffic and couldn't get there in time.","Me ne obi yɛɛ nhyehyɛe wɔ 2:30, nanso wɔde me kɔtoo kar mu a na mintumi nkɔ hɔ ntɛm."
Kwabena used to play the piano professionally.,Ná Kwabena bɔ adakabɛn.
You can't cling to the past.,Wuntumi mfa wo ho nto nea atwam no so.
The boy takes after his father.,Abarimaa no di n'agya akyi.
I don't feel like going out right now.,M'ani nnye ho sɛ mefi fie seesei ara.
He's our English teacher.,Ɔyɛ yɛn Engiresi kyerɛkyerɛfo.
I'm proud of my school.,M'ani gye me sukuu ho.
Kwabena rejected the offer.,Kwabena ampene so.
I don't want to see Kwabena.,Mempɛ sɛ mehu Kwabena.
I think I know what this is.,Misusuw sɛ minim nea eyi kyerɛ.
Kwabena and Abena are both students.,Kwabena ne Abena nyinaa yɛ sukuufo.
Kwabena made a mistake.,Kwabena dii mfomso.
I revealed the truth of the matter.,Miyii nokwasɛm a ɛwɔ asɛm no mu adi.
Kwabena has beautiful blue eyes.,Kwabena aniwa yɛ bruu fɛfɛɛfɛ.
I'll keep that book for myself.,M'ankasa mede saa nhoma no bɛto hɔ.
She did a good job.,Ná ɔyɛ adwuma pa.
He can make himself understood in English.,Obetumi ate ne ho ase wɔ Engiresi kasa mu.
Winds from the sea are humid.,Mframa a efi po mu no ano yɛ den.
Kwabena says he wants to get married right away.,Kwabena ka sɛ ɔpɛ sɛ ɔware ntɛm ara.
Somebody had to do something.,Ná ɛsɛ sɛ obi yɛ biribi.
What exactly is it that you want me to say?,Dɛn ankasa na wopɛ sɛ meka?
I think that for many people learning the trigonometric functions is meaningless.,"Misusuw sɛ wɔ nnipa pii fam no, mfaso biara nni so sɛ wobesua adwuma a ɛma wotumi yɛ ade tra so no."
Do you know where we live?,So wunim baabi a yɛte?
I followed Kwabena's orders.,Midii Kwabena ahyɛde ahorow no akyi.
I think there are many who binge eat from stress.,Misusuw sɛ nnipa pii wɔ hɔ a wodidi tra so di adwennwen.
Do you guys smell something?,So wote biribi hua?
I'm drinking milk.,Menom nufusu.
Do you have a table in your room?,So wowɔ pon bi wɔ wo dan mu?
It's just too soon.,Ɛnkyɛ koraa na aba.
The eggs are still hot.,Ná nkesua no da so ara yɛ hyew.
We needed help.,Ná yehia mmoa.
Look at that mountain.,Hwɛ saa bepɔw no.
Everybody got sent back home.,Obiara san kɔɔ fie.
I know all about Kwabena.,Minim Kwabena ho nsɛm nyinaa.
Kwabena won the bet.,Kwabena dii nkonim.
It's important.,Ɛho hia.
"Like it or not, you must do it.","Te sɛ anaa ɛnte saa no, ɛsɛ sɛ woyɛ saa."
Your jacket and tie don't go together.,Wo soro atade ne w'atade nyɛ adwuma mmom.
The village is located high up in the mountains.,Ná akuraa no wɔ mmepɔw no atifi.
We're in Boston now.,Mprempren yɛwɔ Boston.
Do you like spring or autumn?,So wopɛ fefɛw bere anaa otwabere?
Kwabena was inconsiderate.,Ná Kwabena nnwen afoforo ho.
Kwabena talked too much.,Kwabena kasa pii.
"What's up, dude?",Dɛn na ebefi mu aba?
Kwabena does me a lot of favors.,Kwabena boa me paa.
You look fat.,Wote sɛ srade.
My jacket's in the car.,Me soro atade wɔ kar no mu.
I would like to live in France.,Mepɛ sɛ metra France.
"I am no longer young, but I can still bite.","Menyɛ abofra bio, nanso meda so ara tumi ka."
Yesterday I was caught in a shower on my way home from school.,"BERE a mifi sukuu reba fie no, wɔkyeree me."
Kwabena was outstanding tonight.,Ná Kwabena da nsow wɔ anadwo ho.
Autumn is just around the corner.,Autumn wɔ akyiri pɛɛ.
Which story do you want me to read?,Asɛm bɛn na wopɛ sɛ mekenkan?
We forced him to admit that he'd done it.,Yɛhyɛɛ no ma ogye toom sɛ ɔbɛyɛ.
She can play the piano very well.,Obetumi abɔ adakabɛn no yiye.
Do you like fish?,So w'ani gye mpataa ho?
You broke your leg.,Wubuu wo nan mu.
Mom is older than Dad.,Maame anyin sen Paapa.
Look it up in your dictionary.,Hwɛ wɔ nsɛm asekyerɛ nhoma no mu.
There is not a drop of water left.,Nsu ho ayɛ na.
Kwabena had no right to treat Abena the way he did.,Ná Kwabena nni hokwan biara sɛ ɔhwɛ Abena sɛnea ɔyɛe no.
He scolded her.,Ɔhyɛɛ no abufuw.
Do you believe in angels?,So wugye abɔfo di?
We should sit down.,Ɛsɛ sɛ yɛtra ase.
You could pass for a teenager if you wore a T-shirt.,"Sɛ wohyɛ T-sshit a, wubetumi atwa kwan akɔ abofra a wadu mpanyin afe so nkyɛn."
It seems he's still alive.,Ɛte sɛ nea ɔda so te ase.
There are many old temples in Kyoto.,Asɔredan dedaw pii wɔ hɔ a ɛwɔ bɛyɛ mfe apem a atwam no mu.
Are you calling from Germany?,So wufi Germany reba?
He is skilled in handicraft.,Onim sɛnea wɔde nsa yɛ adwuma yiye.
My father gets along with his friends.,Me papa ne ne nnamfo bɔ.
I assumed you might be hungry so I brought some sandwiches.,"Misusuwii sɛ ɔkɔm betumi de wo, enti mede paanoo bae."
He walked so fast that she couldn't keep up with him.,Ɔnantew ntɛmntɛm araa ma wantumi ne no antra.
She's going to Ooita.,Ɔbɛkɔ Oota.
I'm not finished with Kwabena.,Minhuu Kwabena bio.
Why didn't you tell me Kwabena wasn't Canadian?,Dɛn nti na wanka ankyerɛ me Kwabena sɛ ɔnyɛ Canadani?
I have urgent matters to attend to.,Nneɛma bi wɔ hɔ a ehia paa sɛ mekɔ.
Are there many animals in the zoo?,Mmoa pii wɔ mmoa yɛmmea hɔ?
Let me talk to Kwabena alone.,Ma me ne Kwabena nkutoo nkasa.
How far are you going?,Ɛhe na worekɔ?
Would you like ice?,So wobɛpɛ nsukyenee?
He gave money to each of his sons.,Ɔmaa ne mmabarima no mu biara sika.
"Fortunately, they were able to escape.","Anigyesɛm ne sɛ, wotumi guanee."
Water consists of hydrogen and oxygen.,Nsu bi wɔ hɔ a wɔfrɛ no hydrogen ne oxygen.
"Find mutual interests, and you will get along with each other.","Munsusuw nneɛma a mo ani gye ho ho, na mo ne mo ho bɛbɔ."
There's no food left.,Aduan biara nni hɔ a aka.
Kwabena goes to the supermarket almost every day.,Ɛkame ayɛ sɛ Kwabena kɔ aguadidan mu da biara da.
"Without the slightest hesitation, he sold his own car.",Ɔtɔn n'ankasa kar a wantwentwɛn ne nan ase koraa.
I don't have time to cook.,Minni bere a mede anoa aduan.
I know French.,Minim Franse kasa.
I might want to go with you tomorrow.,M'ani begye ho sɛ me ne wo bɛkɔ ɔkyena.
She is gentle.,Ne bo dwo.
My brother-in-law is a policeman.,Me nuabarima-in-n mmara yɛ polisini.
Kwabena doesn't think that it'll rain tomorrow.,Kwabena nsusuw sɛ osu bɛtɔ ɔkyena.
We understand that.,Yɛte ɛno ase.
Some believe in UFOs and others do not.,Ebinom gye UFOs ne afoforo di.
You're being evasive.,Wo ho yeraw wo.
I was hired by my uncle.,Me wɔfa na ɔfaa me.
I keep a diary in French.,Mede nhoma ahyɛ Franse kasa mu.
How about next Saturday?,Memeneda a edi hɔ no nso ɛ?
I stayed up late last night.,Metraa ase anadwo a etwa to no.
My car needs washing.,Ná ehia sɛ me kar no hohoro ho.
I feel a bit feverish tonight.,M'ani gye anadwo ho kakra.
I didn't write anything.,Mankyerɛw hwee.
Women like Kwabena.,Mmea te sɛ Kwabena.
You should always knock before entering Kwabena's room.,Ɛsɛ sɛ wobɔ mmɔden bere nyinaa ansa na woakɔ Kwabena dan mu.
You guys are geniuses.,Mo a moyɛ mmarima no yɛ nnipa atitiriw.
I want to speak French.,Mepɛ sɛ meka Franse kasa.
Kwabena said that he wanted to learn French.,Kwabena kae sɛ ɔpɛ sɛ osua Franse kasa.
There are no classes in August.,Adesua biara nni August mu.
I learned a lot from you.,Misuaa nneɛma pii fii wo hɔ.
Kwabena and Abena had to run.,Ná ɛsɛ sɛ Kwabena ne Abena tu mmirika no.
It's hard to resist temptation.,Ɛyɛ den sɛ yɛbɛko atia sɔhwɛ.
They donated money to the Red Cross.,Wɔde sika no kɔmaa Red Crossfo no.
I am studying English now.,Seesei meresua Engiresi kasa.
What don't we know?,Dɛn na yennim?
It's all Greek to me.,Ɛno ara ne Hela kasa.
It took me several hours to assemble it.,Egyee me nnɔnhwerew pii ansa na meretumi aboaboa ano.
Kwabena discovered that he had made a mistake.,Kwabena hui sɛ wadi mfomso.
How do magnets work?,Ɔkwan bɛn so na twebo yɛ adwuma?
I want to know how long it'll take.,Mepɛ sɛ mihu bere tenten a ebegye.
It's a sign of the times.,Ɛyɛ mmere no ho sɛnkyerɛnne.
Kwabena has a big family.,Kwabena wɔ abusua kɛse.
I can't get that out of my mind.,Mintumi nnya ɛno mfi m'adwenem.
Some stars are hardly visible to the naked eye.,Nsoromma bi wɔ hɔ a aniwa ntumi nhu.
You're not the only one who uses this computer.,Ɛnyɛ wo nko na wode kɔmputa yi di dwuma.
We'll furnish you with everything you need.,Yɛde biribiara a wuhia bɛma wo.
"In my opinion, Twitter is a waste of time.",Misusuw sɛ Twitter yɛ bere sɛe.
You're lucky it didn't rain yesterday.,Nsu antɔ saa da no.
What page are you on?,Kratafa bɛn na wowɔ?
The stone is perfectly smooth.,Ná ɔbo no yɛ fɛ yiye.
"Kwabena, Abena and John shared the cost of the party.","Kwabena, Abena ne John nyinaa bɔɔ ka koro wɔ apontow no ho."
I stayed in bed all morning.,Ná meda mpa so anɔpa mũ nyinaa.
"Her clarinet squeaked, and the entire audience laughed.","Ne bo fuwii paa, na atiefo no nyinaa serewee."
Next Thursday is a holiday.,Yawda a edi hɔ no yɛ dapɔnna.
Kwabena allowed his dog to run free.,Kwabena maa ne kraman no faa ne ho dii.
One of the hands has fallen off my watch.,Nsa no biako atɔ fam wɔ m'ani so.
"Quiet down, please.","Yɛsrɛ wo, brɛ wo nan ase."
Kwabena needs to change his attitude.,Ɛsɛ sɛ Kwabena sesa ne suban.
Kwabena can't afford that kind of computer.,Kwabena ntumi ntɔ kɔmputa a ɛte saa.
I'm not a bit tired.,M'abam ammu kakra.
I want to sing the song.,Mepɛ sɛ meto dwom no.
She gazed at me for a long time.,Ɔhwɛɛ me kyɛe.
